Date,KOR,CHN,JPY,USA,KOR_Seasonal_Adjusted_Trend,CHN_Seasonal_Adjusted_Trend,JPY_Seasonal_Adjusted_Trend,USA_Seasonal_Adjusted_Trend,KOR_Seasonal_Adjusted_Trend_Daily_Return,USA_Seasonal_Adjusted_Trend_Daily_Return,JPY_Seasonal_Adjusted_Trend_Daily_Return,CHN_Seasonal_Adjusted_Trend_Daily_Return
2015-01-01,0.5125,1e-10,0.121666666666667,0.104,,,,,,,,
2015-01-02,0.04,1e-10,0.0666666666666666,0.098,,,,,,,,
2015-01-03,0.02,1e-10,0.02,0.33,,,,,,,,
2015-01-04,1e-10,1e-10,1e-10,0.08,,,,,,,,
2015-01-05,1e-10,0.02,1e-10,0.022,,,,,,,,
2015-01-06,0.255,0.24,0.0233333333333333,0.01,,,,,,,,
2015-01-07,0.065,0.2,0.228333333333333,1e-10,0.0805208333625,0.216250000045833,0.0715694444611111,0.0861666666791667,,,,
2015-01-08,0.01,1e-10,0.111666666666667,0.01,0.1166666667,0.218333333370833,0.0655555555763889,0.0777500000208333,0.4489003879874618,-0.09767891671697193,-0.0840287210555336,0.00963391132743796
2015-01-09,0.01,1e-10,0.138,0.014,0.1841666667,0.2191666667,0.075625000025,0.0599166666958333,0.5785714284061225,-0.22936763112825087,0.15360169492999942,0.003816793873391955
2015-01-10,1e-10,0.04,0.11,0.12,0.195000000029167,0.2191666667,0.114513888909722,0.0428333333708333,0.05882352937849533,-0.2851182194717785,0.514233241280875,0.0
2015-01-11,0.11,0.27,0.004,0.22,0.201805555576389,0.218333333370833,0.141805555568056,0.0385833333791667,0.03490028485232832,-0.09922178960184713,0.2383262582222634,-0.0038022813492332164
2015-01-12,0.2,1.81,0.074,0.078,0.197986111127778,0.207500000045833,0.149000000008333,0.05475000005,-0.01892635927540276,0.4190064790918915,0.05073457391324987,-0.049618320563996954
2015-01-13,1e-10,0.03,0.044,1e-10,0.18895833335,0.189166666720833,0.146097222230556,0.0718333333833333,-0.04559803577308297,0.31202435283528906,-0.019481730051105095,-0.0883534135949422
2015-01-14,1.42,0.02,1e-10,1e-10,0.190972222238889,0.180833333391667,0.132763888897222,0.0716666667166667,0.010657846379067859,-0.0023201856132332166,-0.09126342807731602,-0.04405286340147918
2015-01-15,0.26,1e-10,0.328333333333333,1e-10,0.199930555572222,0.180833333391667,0.128444444452778,0.07375000005,0.0469090909049954,0.02906976742157874,-0.032534783971173376,0.0
2015-01-16,0.02,1e-10,0.625,1e-10,0.219652777790278,0.179166666729167,0.132430555563889,0.0790833333833333,0.09864536294419302,0.07231638413176245,0.03103373702220713,-0.009216589835736477
2015-01-17,0.143333333333333,1e-10,0.03,1e-10,0.227083333345833,0.166250000070833,0.151152777786111,0.0730000000541667,0.0338286436907691,-0.07692307682175492,0.14137388567542297,-0.07209302318415733
2015-01-18,0.02,1e-10,0.166,0.42,0.2141666666875,0.0805555556305555,0.165125000008333,0.0665833333916667,-0.05688073390512438,-0.08789954325669547,0.09243774693967866,-0.5154553046843082
2015-01-19,0.0833333333333333,1e-10,0.016,1e-10,0.205833333358333,0.0056944445194444,0.163194444452778,0.0698333333875,-0.038910505813337104,0.04881101366186735,-0.011691479518289527,-0.9293103439623668
